Fiscal Year Closed,Release Month & Year,Closure Type,Race - Ethnicity,Sex,Age at Closure,Institution Name ,Convicting Offense,Convicting Offense Classification,Zip Code of Work Unit Region,Convicting Offense Description,Convicting Offense Type,Convicting Offense Subtype,Months Served
2014,02/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,47,Newton Correctional Facility,715A.2(2)a,D Felony,"50208(41.707788, -93.035318)",FORGERY,Property,Forgery/Fraud,9.87
2016,02/01/2016 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Male,31,North Central Correctional Facility,708.7(2),Aggravated Misdemeanor,"50579(42.394184, -94.640946)",HARASSMENT / 1ST DEG.,Violent,Assault,7.6
2015,03/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,54,Iowa Correctional Institution for Women,124.411,Felony - Enhancement to Original Penalty,"50169(41.658201, -93.356797)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,52.5
2016,02/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,28,Newton Correctional Facility,124.401(1)(c)(6),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,13.88
2014,03/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,46,Iowa State Penitentiary,724.4,Aggravated Misdemeanor,"52627(40.651925, -91.34727)",CARRYING WEAPONS,Public Order,Weapons,4.9
2014,03/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,33,Iowa State Penitentiary,124.401(1)(d)(2),D Felony,"52627(40.651925, -91.34727)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,6.78
2014,03/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,28,Mount Pleasant Correctional Facility,321J.2(C),D Felony,"52641(40.988278, -91.57896)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,10.36
2016,03/01/2016 12:00:00 AM,Work Release Granted,American Indian or Alaska Native - Non-Hispanic,Female,21,Iowa Correctional Institution for Women,714.2(2),D Felony,"50169(41.658201, -93.356797)",THEFT 2ND DEGREE,Property,Theft,19.84
2014,01/01/2014 12:00:00 AM,Paroled to Detainer - U.S. Marshall,Black - Non-Hispanic,Male,25,Mount Pleasant Correctional Facility,124.401(1)(c)(8),C Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,21.22
2014,01/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,37,Fort Dodge Correctional Facility,124.401(1)(d)(2),D Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,8.16
2015,01/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,34,Newton Correctional Facility,713.5,C Felony,"50208(41.707788, -93.035318)",BURGLARY 2ND DEGREE,Property,Burglary,11.81
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Hispanic,Male,20,Clarinda Correctional Facility,124.401(1)(d)(2),D Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,11.74
2015,02/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,30,Iowa State Penitentiary,124.401(1)(d)(2),D Felony,"52627(40.651925, -91.34727)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,7.34
2014,03/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,34,North Central Correctional Facility,124.401(1)(d)(2),D Felony,"50579(42.394184, -94.640946)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,7.89
2016,02/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,29,Newton Correctional Facility,124.401(1)(c)(6),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,16.45
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,Clarinda Correctional Facility,714.2(3),Aggravated Misdemeanor,"51632(40.747654, -95.045654)",THEFT 3RD DEGREE,Property,Theft,3.68
2015,03/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,31,Fort Dodge Correctional Facility,124.401(1)(d)(2),D Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,14.28
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,19,Mount Pleasant Correctional Facility,713.6A,D Felony,"52641(40.988278, -91.57896)",BURGLARY 3RD DEGREE,Property,Burglary,6.12
2014,01/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,32,Iowa State Penitentiary,321.561,Aggravated Misdemeanor,"52627(40.651925, -91.34727)",DRIVING WHILE BARRED - MOTOR VEHICLE,Public Order,Traffic,6.02
2015,03/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,22,Fort Dodge Correctional Facility,321J.2(B),Aggravated Misdemeanor,"50501(42.494187, -94.188076)",OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI,7.27
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,29,Fort Dodge Correctional Facility,713.6A,D Felony,"50501(42.494187, -94.188076)",BURGLARY 3RD DEGREE,Property,Burglary,10.59
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,23,North Central Correctional Facility,"124.401(5),B",Aggravated Misdemeanor,"50579(42.394184, -94.640946)",Proh Acts-Poss w/o Prescription - 2nd Offense,Drug,Drug Possession,4.9
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,54,Mount Pleasant Correctional Facility,709.4(2)(b),C Felony,"52641(40.988278, -91.57896)",Sexual Abuse-3rd/Victim 12 or 13 Yrs Old-Life Supervision,Violent,Sex,46.15
2016,02/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,63,Clarinda Correctional Facility,715A.2(2)a,D Felony,"51632(40.747654, -95.045654)",FORGERY,Property,Forgery/Fraud,15.63
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,36,Clarinda Correctional Facility,321J.2(B),Aggravated Misdemeanor,"51632(40.747654, -95.045654)",OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI,2.99
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,45,Mount Pleasant Correctional Facility,709.8(1),C Felony,"52641(40.988278, -91.57896)",Lascivious Acts With A Child - Life Special Sentence,Violent,Sex,48.68
2016,02/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,47,Anamosa State Penitentiary,124.411,Felony - Enhancement to Original Penalty,"52205(42.112167, -91.282703)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,33.85
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,40,Clarinda Correctional Facility,124.401(1)(b)(7),B Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,77.6
2014,02/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,25,Clarinda Correctional Facility,124.401(1)(c)(8),C Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,11.74
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Iowa State Penitentiary,124.401(1)(c)(6),C Felony,"52627(40.651925, -91.34727)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,30
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,34,North Central Correctional Facility,692A.104-B,D Felony,"50579(42.394184, -94.640946)",Sex Offender - Registration Violation 2nd or subsequent offense,Public Order,Other Public Order,7.37
2014,03/01/2014 12:00:00 AM,Parole Granted,White - Hispanic,Male,23,Fort Dodge Correctional Facility,707.6A(4),D Felony,"50501(42.494187, -94.188076)",Serious Injury by Vehicle,Violent,Murder/Manslaughter,11.68
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,26,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,11.68
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,54,Clarinda Correctional Facility,124.401(5)(c),D Felony,"51632(40.747654, -95.045654)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,6.15
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,33,Fort Dodge Correctional Facility,124.401(5)b,Aggravated Misdemeanor,"50501(42.494187, -94.188076)",Possession of a Controlled Substance - 2nd Offense,Drug,Drug Possession,10.1
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,65,Mount Pleasant Correctional Facility,321J.2(C),D Felony,"52641(40.988278, -91.57896)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,9.34
2015,03/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,51,Iowa Correctional Institution for Women,124.411,Felony - Enhancement to Original Penalty,"50169(41.658201, -93.356797)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,60.66
2014,03/01/2014 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Male,56,Clarinda Correctional Facility,123.91(2),Aggravated Misdemeanor,"51632(40.747654, -95.045654)","ALCOHOL CHAPTER 123, 3RD AND SUBSEQUENT",Public Order,Alcohol,8.78
2015,01/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,25,North Central Correctional Facility,124.401(1)(b)(3),B Felony,"50579(42.394184, -94.640946)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine GT 5gm but LT 50 gm",Drug,Trafficking,41.68
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,31,Anamosa State Penitentiary,124.401(1)(c)(6),C Felony,"52205(42.112167, -91.282703)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,11.22
2014,03/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,24,Fort Dodge Correctional Facility,716.4,D Felony,"50501(42.494187, -94.188076)",CRIMINAL MISCHIEF 2ND DEGREE,Property,Vandalism,11.51
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,43,Newton Correctional Facility,124.411,Felony - Enhancement to Original Penalty,"50208(41.707788, -93.035318)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,45
2014,03/01/2014 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,54,Iowa Medical & Classification Center,709.4,C Felony,"52241(41.694462, -91.58569)",SEXUAL ABUSE 3RD DEGREE,Violent,Sex,96.45
2016,01/01/2016 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,48,Newton Correctional Facility,714.2(1),C Felony,"50208(41.707788, -93.035318)",THEFT 1ST DEGREE,Property,Theft,16.68
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,30,North Central Correctional Facility,321J.2(C),D Felony,"50579(42.394184, -94.640946)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,13.85
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,27,Iowa Correctional Institution for Women,124.401(5)b,Aggravated Misdemeanor,"50169(41.658201, -93.356797)",Possession of a Controlled Substance - 2nd Offense,Drug,Drug Possession,4.41
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Hispanic,Male,47,Iowa State Penitentiary,124.401(1)(d)(2),D Felony,"52627(40.651925, -91.34727)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,11.12
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,35,Fort Dodge Correctional Facility,708.2A(4),D Felony,"50501(42.494187, -94.188076)",DOMESTIC ABUSE ASSAULT - 3RD OR SUBSEQUENT OFFENSE,Violent,Assault,15.26
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,34,Mount Pleasant Correctional Facility,124.401(5)(c),D Felony,"52641(40.988278, -91.57896)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,9.51
2015,01/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,28,Clarinda Correctional Facility,124.401(5)(c),D Felony,"51632(40.747654, -95.045654)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,2.86
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,23,Iowa Correctional Institution for Women,726.6(5),C Felony,"50169(41.658201, -93.356797)",Child Endangerment-Serious Injury,Violent,Assault,23.82
2016,01/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,30,Fort Dodge Correctional Facility,708.4(1),C Felony,"50501(42.494187, -94.188076)",WILLFUL INJURY - CAUSING SERIOUS INJURY,Violent,Assault,42.53
2014,03/01/2014 12:00:00 AM,Paroled to Detainer - INS,Black - Non-Hispanic,Male,26,Iowa Medical & Classification Center,713.5,C Felony,"52241(41.694462, -91.58569)",BURGLARY 2ND DEGREE,Property,Burglary,83.82
2016,01/01/2016 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,45,Anamosa State Penitentiary,709.4,C Felony,"52205(42.112167, -91.282703)",Sex Abuse 3rd Degree-Life Special Sentence,Violent,Sex,62.07
2015,01/01/2015 12:00:00 AM,Paroled to Detainer - Out of State,White - Non-Hispanic,Female,29,Iowa Correctional Institution for Women,321.279(2),Aggravated Misdemeanor,"50169(41.658201, -93.356797)",ELUDING,Public Order,Traffic,5
2015,01/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,26,Clarinda Correctional Facility,707.6A(4),D Felony,"51632(40.747654, -95.045654)",Serious Injury by Vehicle,Violent,Murder/Manslaughter,25.53
2015,02/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,48,Mount Pleasant Correctional Facility,708.2A(4),D Felony,"52641(40.988278, -91.57896)",DOMESTIC ABUSE ASSAULT - 3RD OR SUBSEQUENT OFFENSE,Violent,Assault,12.83
2014,03/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,33,North Central Correctional Facility,124.401(5)(c),D Felony,"50579(42.394184, -94.640946)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,20
2015,01/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,North Central Correctional Facility,716.4,D Felony,"50579(42.394184, -94.640946)",CRIMINAL MISCHIEF 2ND DEGREE,Property,Vandalism,12.63
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,55,Newton Correctional Facility,708.4(1),C Felony,"50208(41.707788, -93.035318)",WILLFUL INJURY - CAUSING SERIOUS INJURY,Violent,Assault,23.49
2014,02/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,26,Anamosa State Penitentiary,715A.2(2)a,D Felony,"52205(42.112167, -91.282703)",FORGERY,Property,Forgery/Fraud,12.17
2015,01/01/2015 12:00:00 AM,Paroled w/Immediate Discharge,Black - Non-Hispanic,Female,44,Iowa Correctional Institution for Women,712.4,Aggravated Misdemeanor,"50169(41.658201, -93.356797)",ARSON 3RD DEGREE,Property,Arson,4.84
2014,01/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,Newton Correctional Facility,124.401(1)(c)(6),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,6.45
2015,02/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,21,Newton Correctional Facility,708.4(1),C Felony,"50208(41.707788, -93.035318)",WILLFUL INJURY - CAUSING SERIOUS INJURY,Violent,Assault,23.59
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,51,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,6.97
2014,01/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,24,Fort Dodge Correctional Facility,124.401(1)(d)(2),D Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,21.71
2014,01/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,37,Newton Correctional Facility,714.3A(2)(a),Aggravated Misdemeanor,"50208(41.707788, -93.035318)",Aggravated Theft,Violent,Assault,4.74
2014,01/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Female,37,Iowa Correctional Institution for Women,714.2(2),D Felony,"50169(41.658201, -93.356797)",THEFT 2ND DEGREE,Property,Theft,5.49
2014,01/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,41,Fort Dodge Correctional Facility,321.279(3),D Felony,"50501(42.494187, -94.188076)",ELUDING,Public Order,Traffic,3.72
2016,01/01/2016 12:00:00 AM,Work Unit - Prison to Field,White - Non-Hispanic,Male,64,Iowa Medical & Classification Center,903B.2,Special Sentence 2005,"52241(41.694462, -91.58569)",Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex,57.96
